title,year,certificate,duration,gross,country,director,genre,ratings
The Shawshank Redemption,1994,R,2h 22m,"$28,884,504 ",United States,Frank Darabont,Drama,9.2
The Godfather,1972,R,2h 55m,"$250,341,816 ",United States,Francis Ford Coppola,Crime,9.2
The Dark Knight,2008,PG-13,2h 32m,"$1,006,234,167 ",United States,Christopher Nolan,Action,9
The Godfather Part II,1974,R,3h 22m,"$47,961,919 ",United States,Francis Ford Coppola,Crime,9
12 Angry Men,1957,Approved,1h 36m,,United States,Sidney Lumet,Crime,9
Schindler's List,1993,R,3h 15m,"$322,161,245 ",United States,Steven Spielberg,Biography,8.9
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,"$1,147,633,833 ",New Zealand,Peter Jackson,Action,8.9
Pulp Fiction,1994,R,2h 34m,"$213,928,762 ",United States,Quentin Tarantino,Crime,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,"$898,204,420 ",New Zealand,Peter Jackson,Action,8.8
"The Good, the Bad and the Ugly",1966,Approved,2h 58m,,Italy,Sergio Leone,Adventure,8.8
Forrest Gump,1994,PG-13,2h 22m,"$678,226,465 ",United States,Robert Zemeckis,Drama,8.8
Fight Club,1999,R,2h 19m,"$101,209,702 ",Germany,David Fincher,Drama,8.7
The Lord of the Rings: The Two Towers,2002,PG-13,2h 59m,"$947,944,270 ",New Zealand,Peter Jackson,Action,8.7
Inception,2010,PG-13,2h 28m,"$870,110,523 ",United States,Christopher Nolan,Action,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,"$538,375,067 ",United States,Irvin Kershner,Action,8.7
The Matrix,1999,R,2h 16m,"$467,222,728 ",United States,Lana Wachowski,Action,8.7
Goodfellas,1990,R,2h 25m,"$47,036,784 ",United States,Martin Scorsese,Biography,8.7
One Flew Over the Cuckoo's Nest,1975,R,2h 13m,,United States,Milos Forman,Drama,8.6
Se7en,1995,R,2h 7m,"$327,333,559 ",United States,David Fincher,Crime,8.6
It's a Wonderful Life,1946,PG,2h 10m,"$8,574,081 ",United States,Frank Capra,Drama,8.6
Seven Samurai,1954,Not Rated,3h 27m,"$346,258 ",Japan,Akira Kurosawa,Action,8.6
The Silence of the Lambs,1991,R,1h 58m,"$272,742,922 ",United States,Jonathan Demme,Crime,8.6
Saving Private Ryan,1998,R,2h 49m,"$482,349,603 ",United States,Steven Spielberg,Drama,8.6
City of God,2002,R,2h 10m,"$30,680,793 ",Brazil,Fernando Meirelles,Crime,8.6
Interstellar,2014,PG-13,2h 49m,"$773,430,538 ",United States,Christopher Nolan,Adventure,8.6
Life Is Beautiful,1997,PG-13,1h 56m,"$230,099,013 ",Italy,Roberto Benigni,Comedy,8.6
The Green Mile,1999,R,3h 9m,"$286,801,374 ",United States,Frank Darabont,Crime,8.6
Star Wars: Episode IV - A New Hope,1977,PG,2h 1m,"$775,398,007 ",United States,George Lucas,Action,8.5
Terminator 2: Judgment Day,1991,R,2h 17m,"$520,881,154 ",United States,James Cameron,Action,8.5
Back to the Future,1985,PG,1h 56m,"$383,336,762 ",United States,Robert Zemeckis,Adventure,8.5
Spirited Away,2001,PG,2h 5m,"$357,277,400 ",Japan,Hayao Miyazaki,Animation,8.5
The Pianist,2002,R,2h 30m,"$120,072,577 ",France,Roman Polanski,Biography,8.5
Psycho,1960,R,1h 49m,,United States,Alfred Hitchcock,Horror,8.5
Parasite,2019,R,2h 12m,"$262,676,096 ",South Korea,Bong Joon Ho,Drama,8.5
Léon: The Professional,1994,R,1h 50m,"$19,569,225 ",France,Luc Besson,Action,8.5
Gladiator,2000,R,2h 35m,"$503,162,313 ",United States,Ridley Scott,Action,8.5
The Lion King,1994,G,1h 28m,"$968,511,805 ",United States,Roger Allers,Animation,8.5
American History X,1998,R,1h 59m,"$23,875,127 ",United States,Tony Kaye,Crime,8.5
The Departed,2006,R,2h 31m,"$291,480,452 ",United States,Martin Scorsese,Crime,8.5
Whiplash,2014,R,1h 46m,"$49,396,747 ",United States,Damien Chazelle,Drama,8.5
The Prestige,2006,PG-13,2h 10m,"$109,676,311 ",United Kingdom,Christopher Nolan,Drama,8.5
The Usual Suspects,1995,R,1h 46m,"$23,341,568 ",United States,Bryan Singer,Crime,8.5
Casablanca,1942,PG,1h 42m,"$4,626,532 ",United States,Michael Curtiz,Drama,8.5
Grave of the Fireflies,1988,Not Rated,1h 29m,"$516,962 ",Japan,Isao Takahata,Animation,8.5
Harakiri,1962,Not Rated,2h 13m,,Japan,Masaki Kobayashi,Action,8.5
The Intouchables,2011,R,1h 52m,"$426,588,510 ",France,Olivier Nakache,Biography,8.5
Modern Times,1936,G,1h 27m,"$463,618 ",United States,Charles Chaplin,Comedy,8.4
